Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Compact Inverter Power V5\Project Outputs for Compact Inverter Power V5\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       25/02/26
Time:       19:45
Revision:   be1bb769ca2256d1696d26d492f57403fe25e69b
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"RT1_U_Data ConnectorC","NCU18XH103F6SRB","BottomLayer","FP-NCU18-0_15-IPC_B","-41.0000","24.2081","270","THERMISTOR NTC"
"RT1_U_Data ConnectorB","NCU18XH103F6SRB","BottomLayer","FP-NCU18-0_15-IPC_B","-7.0000","24.2081","270","THERMISTOR NTC"
"R2_U_totemC","2.1kO","BottomLayer","RES_0603_1608","-46.0000","32.9000","270","Generic 0603 Resistor"
"R2_U_totemB","2.1kO","BottomLayer","RES_0603_1608","-12.0000","32.9000","270","Generic 0603 Resistor"
"R1_U_totemC","10k","BottomLayer","RES_0603_1608","-41.0000","21.0000","90","RES 10K OHM 0.1% 1/16W 0603"
"R1_U_totemB","10k","BottomLayer","RES_0603_1608","-7.0000","21.0000","90","RES 10K OHM 0.1% 1/16W 0603"
"MP10_U_totemC","LCC 3mm","BottomLayer","PAD_3MM","-47.0000","27.0000","90",""
"MP10_U_totemB","LCC 3mm","BottomLayer","PAD_3MM","-13.0000","27.0000","90",""
"J8_U_Data ConnectorC","SFMC-104-01-L-D","TopLayer","*SAMTEC_SFMC-104-01-L-D_SFMC-104-01-L-D(Primary)","-47.0000","21.0000","0",""
"J8_U_Data ConnectorB","SFMC-104-01-L-D","TopLayer","*SAMTEC_SFMC-104-01-L-D_SFMC-104-01-L-D(Primary)","-13.0000","21.0000","0",""
"IC1_U_totemC","TMCS1126BFx","BottomLayer","TMCS1126ADxQ1","-44.5000","40.0000","270","Integrated Circuit"
"IC1_U_totemB","TMCS1126BFx","BottomLayer","TMCS1126ADxQ1","-10.5000","40.0000","270","Integrated Circuit"
"FB1_U_totemC","MHF1608BAC182ATD25","BottomLayer","BEADC1608X95N","-41.1000","32.0000","270","Filter"
"FB1_U_totemB","MHF1608BAC182ATD25","BottomLayer","BEADC1608X95N","-7.1000","32.0000","270","Filter"
"C3_U_totemC","100nF 0603","BottomLayer","0µF_0603-Footprint-1","-41.6001","29.5001","0","Generic 0603 Capacitor"
"C3_U_totemB","100nF 0603","BottomLayer","0µF_0603-Footprint-1","-7.6001","29.5001","0","Generic 0603 Capacitor"
"C2_U_totemC","10µF 0603","BottomLayer","0µF_0603-Footprint-1","-41.6001","28.0001","0","Generic 0603 Capacitor"
"C2_U_totemB","10µF 0603","BottomLayer","0µF_0603-Footprint-1","-7.6001","28.0001","0","Generic 0603 Capacitor"
"C1_U_totemC","0.1µF 0603","BottomLayer","0µF_0603-Footprint-1","-42.6001","31.9999","90","Generic 0603 Capacitor"
"C1_U_totemB","0.1µF 0603","BottomLayer","0µF_0603-Footprint-1","-8.6001","31.9999","90","Generic 0603 Capacitor"
"FB1_U_totemA","MHF1608BAC182ATD25","BottomLayer","BEADC1608X95N","26.9000","32.0000","270","Filter"
"R3_U_totemC","1.2kO","BottomLayer","RES_0603_1608","-44.0000","32.0000","270","Generic 0603 Resistor"
"R3_U_totemB","1.2kO","BottomLayer","RES_0603_1608","-10.0000","32.0000","270","Generic 0603 Resistor"
"R3_U_totemA","1.2kO","BottomLayer","RES_0603_1608","24.0000","32.0000","270","Generic 0603 Resistor"
"R2_U_totemA","2.1kO","BottomLayer","RES_0603_1608","22.0000","32.9000","270","Generic 0603 Resistor"
"C3_U_totemA","100nF 0603","BottomLayer","0µF_0603-Footprint-1","26.3999","29.5001","0","Generic 0603 Capacitor"
"C2_U_totemA","10µF 0603","BottomLayer","0µF_0603-Footprint-1","26.3999","28.0001","0","Generic 0603 Capacitor"
"C1_U_totemA","0.1µF 0603","BottomLayer","0µF_0603-Footprint-1","25.3999","31.9999","90","Generic 0603 Capacitor"
"RT1_U_Data ConnectorA","NCU18XH103F6SRB","BottomLayer","FP-NCU18-0_15-IPC_B","27.0000","24.2081","270","THERMISTOR NTC"
"R1_U_totemA","10k","BottomLayer","RES_0603_1608","27.0000","21.0000","90","RES 10K OHM 0.1% 1/16W 0603"
"MP10_U_totemA","LCC 3mm","BottomLayer","PAD_3MM","21.0000","27.0000","90",""
"J8_U_Data ConnectorA","SFMC-104-01-L-D","TopLayer","*SAMTEC_SFMC-104-01-L-D_SFMC-104-01-L-D(Primary)","21.0000","21.0000","0",""
"IC1_U_totemA","TMCS1126BFx","BottomLayer","TMCS1126ADxQ1","23.5000","40.0000","270","Integrated Circuit"
"MP12","LCC 3mm","TopLayer","PAD_3MM","14.0000","66.0000","0",""
"MP11","LCC 3mm","TopLayer","PAD_3MM","-14.0000","66.0000","0",""
"C14","B58031U9254M062","TopLayer","B58031U9254M062","29.0000","47.5000","270","Capacitor"
"C13","B58031U9254M062","TopLayer","B58031U9254M062","17.8960","47.5000","270","Capacitor"
"C12","B58031U9254M062","TopLayer","B58031U9254M062","-5.2920","47.5000","270","Capacitor"
"C11","B58031U9254M062","TopLayer","B58031U9254M062","-16.3960","47.5000","270","Capacitor"
"C10","B58031U9254M062","TopLayer","B58031U9254M062","-38.6040","47.5000","270","Capacitor"
"J11","7461084","TopLayer","7461084","-48.0000","64.0000","0","Connector"
"Q1_U_totemB","GEM T2PAK","BottomLayer","GEM_T2PAK_H3.6","6.5000","46.8750","180",""
"C5","B58031U9254M062","TopLayer","B58031U9254M062","40.5000","47.5000","270","Capacitor"
"MP8","hole 3.3mm x 6mm","TopLayer","9774060960","57.0000","50.0000","90","WA-SMST SMT Steel Spacer, OD 6mm, hole 3.3mm x 6mm"
"MP5","LCC 3mm","TopLayer","PAD_3MM","57.0000","40.0000","90",""
"MP7","hole 3.3mm x 6mm","TopLayer","9774060960","57.0000","20.0000","90","WA-SMST SMT Steel Spacer, OD 6mm, hole 3.3mm x 6mm"
"MP4","hole 3.3mm x 6mm","TopLayer","9774060960","-57.0000","50.0000","90","WA-SMST SMT Steel Spacer, OD 6mm, hole 3.3mm x 6mm"
"MP2","LCC 3mm","TopLayer","PAD_3MM","-57.0000","40.0000","0",""
"MP3","hole 3.3mm x 6mm","TopLayer","9774060960","-57.0000","20.0000","90","WA-SMST SMT Steel Spacer, OD 6mm, hole 3.3mm x 6mm"
"MP9","M5 x 6mm","TopLayer","7460305_HAL","30.0000","65.0000","90","WP-BUTR REDCUBE PRESS-FIT with internal thread, two-rows, L9W9H7mm, M5 x 6mm, 160A"
"MP6","M5 x 6mm","TopLayer","7460305_HAL","0.0000","65.0000","90","WP-BUTR REDCUBE PRESS-FIT with internal thread, two-rows, L9W9H7mm, M5 x 6mm, 160A"
